assembly	acetylcoa	but	buk	succinate	pdiol
MGYG-HGUT-02471	0	0	0	0	1
MGYG-HGUT-02472	0	0	0	0	0
MGYG-HGUT-02475	0	0	0	0	0
MGYG-HGUT-02476	0	0	0	0	0
MGYG-HGUT-02477	0	0	0	0	1
MGYG-HGUT-02478	0	0	0	1	0
MGYG-HGUT-02479	0	0	0	0	0
MGYG-HGUT-02480	0	0	0	0	0
MGYG-HGUT-02481	0	0	0	0	0
MGYG-HGUT-02482	0	0	0	0	0
MGYG-HGUT-02483	1	1	0	0	0
MGYG-HGUT-02485	1	1	0	0	0
MGYG-HGUT-02486	1	0	0	0	1
MGYG-HGUT-02487	0	0	0	0	0
MGYG-HGUT-02488	0	0	0	0	0
MGYG-HGUT-02489	0	0	0	0	0
MGYG-HGUT-02490	0	0	0	0	0
MGYG-HGUT-02491	0	0	0	0	0
MGYG-HGUT-02493	0	0	0	0	0
MGYG-HGUT-02494	0	0	0	0	1
MGYG-HGUT-02495	0	0	0	0	1
MGYG-HGUT-02496	0	0	0	0	0
MGYG-HGUT-02497	0	0	0	0	0
MGYG-HGUT-02499	0	0	0	0	0
MGYG-HGUT-02500	0	0	0	0	0
MGYG-HGUT-02501	0	0	0	0	0
MGYG-HGUT-02502	0	0	0	0	0
MGYG-HGUT-02503	0	0	0	0	0
MGYG-HGUT-02504	0	0	0	0	0
MGYG-HGUT-02505	0	0	0	0	0
MGYG-HGUT-02506	0	0	0	0	1
MGYG-HGUT-02507	0	0	0	0	1
MGYG-HGUT-02508	0	0	0	0	0
MGYG-HGUT-02509	0	0	0	0	0
MGYG-HGUT-02510	0	0	0	0	1
MGYG-HGUT-02511	0	0	0	0	1
MGYG-HGUT-02512	0	0	0	0	0
MGYG-HGUT-02514	0	0	0	0	0
MGYG-HGUT-02515	0	0	0	0	1
MGYG-HGUT-02517	1	1	0	0	0
MGYG-HGUT-02518	0	0	0	0	0
MGYG-HGUT-02519	0	0	0	0	0
MGYG-HGUT-02520	0	0	0	0	1
MGYG-HGUT-02521	0	0	0	0	1
MGYG-HGUT-02522	1	0	0	0	0
MGYG-HGUT-02523	1	0	0	0	0
MGYG-HGUT-02524	0	0	0	0	1
MGYG-HGUT-02525	0	0	0	0	1
MGYG-HGUT-02526	0	0	0	0	0
MGYG-HGUT-02527	0	0	0	0	0
MGYG-HGUT-02528	1	1	0	0	0
MGYG-HGUT-02529	0	0	0	0	0
MGYG-HGUT-02532	0	0	0	0	0
MGYG-HGUT-02534	0	0	0	0	1
MGYG-HGUT-02535	0	0	0	0	1
MGYG-HGUT-02536	0	0	0	0	0
MGYG-HGUT-02537	0	0	0	0	0
MGYG-HGUT-02538	0	0	0	0	1
MGYG-HGUT-02539	0	0	0	0	0
MGYG-HGUT-02540	0	0	0	1	0
MGYG-HGUT-02541	0	0	0	0	0
MGYG-HGUT-02543	0	0	0	0	0
MGYG-HGUT-02544	0	0	0	0	0
MGYG-HGUT-02545	1	1	0	0	0
MGYG-HGUT-02548	0	0	0	0	0
MGYG-HGUT-02549	0	0	0	1	0
MGYG-HGUT-02564	1	0	0	1	0
MGYG-HGUT-02607	0	0	0	0	0
MGYG-HGUT-02620	0	0	0	0	0
MGYG-HGUT-02649	0	0	0	0	0
MGYG-HGUT-02687	0	0	0	0	0
MGYG-HGUT-02720	1	1	0	0	0
MGYG-HGUT-02722	0	0	0	1	0
MGYG-HGUT-02746	0	0	0	0	0
MGYG-HGUT-02780	0	0	0	0	0
MGYG-HGUT-02786	0	0	0	0	0
MGYG-HGUT-02803	0	0	0	0	0
MGYG-HGUT-02839	0	0	0	0	0
MGYG-HGUT-02874	0	0	0	0	0
MGYG-HGUT-02878	0	0	0	0	0
MGYG-HGUT-02880	0	0	0	0	0
MGYG-HGUT-02897	0	0	0	0	0
MGYG-HGUT-02905	0	0	0	1	0
MGYG-HGUT-02926	1	1	0	0	0
MGYG-HGUT-02936	0	0	0	0	0
MGYG-HGUT-02959	1	1	0	0	0
MGYG-HGUT-02961	0	0	0	0	0
MGYG-HGUT-02963	0	0	0	0	0
MGYG-HGUT-02971	0	0	0	0	0
MGYG-HGUT-03007	0	0	0	0	0
MGYG-HGUT-03013	0	0	0	0	0
MGYG-HGUT-03053	0	0	0	0	0
MGYG-HGUT-03073	0	0	0	0	0
MGYG-HGUT-03075	0	0	0	0	0
MGYG-HGUT-03087	1	0	0	0	0
MGYG-HGUT-03097	0	0	0	1	0
MGYG-HGUT-03099	0	0	0	1	0
MGYG-HGUT-03116	1	0	1	0	0
MGYG-HGUT-03120	0	0	0	0	0
MGYG-HGUT-03124	0	0	0	0	0
MGYG-HGUT-03135	0	0	0	1	0
MGYG-HGUT-03150	1	1	0	0	0
MGYG-HGUT-03154	0	0	0	1	0
MGYG-HGUT-03155	0	0	0	0	0
MGYG-HGUT-03161	1	0	0	0	0
MGYG-HGUT-03186	0	0	0	0	0
MGYG-HGUT-03193	1	0	0	1	0
MGYG-HGUT-03222	0	0	0	0	0
MGYG-HGUT-03230	0	0	0	0	0
MGYG-HGUT-03272	0	0	0	0	0
MGYG-HGUT-03275	0	0	0	0	0
MGYG-HGUT-03318	0	0	0	0	0
MGYG-HGUT-03360	0	0	0	0	0
MGYG-HGUT-03361	0	0	0	0	0
MGYG-HGUT-03363	0	0	0	1	0
MGYG-HGUT-03366	0	0	0	0	0
MGYG-HGUT-03375	0	0	0	0	0
MGYG-HGUT-03381	1	0	0	0	0
MGYG-HGUT-03388	0	0	0	0	0
MGYG-HGUT-03397	0	0	0	1	0
MGYG-HGUT-03398	0	0	0	0	0
MGYG-HGUT-03406	0	0	0	1	0
MGYG-HGUT-03409	0	0	0	0	0
MGYG-HGUT-03439	0	0	0	1	0
MGYG-HGUT-03449	0	0	0	1	0
MGYG-HGUT-03465	0	0	0	0	0
MGYG-HGUT-03475	0	0	0	1	0
MGYG-HGUT-03483	0	0	0	0	0
MGYG-HGUT-03512	0	0	0	0	0
MGYG-HGUT-03543	0	0	0	1	0
MGYG-HGUT-03564	0	0	0	1	0
MGYG-HGUT-03567	0	0	0	0	0
MGYG-HGUT-03592	0	0	0	0	0
MGYG-HGUT-03652	0	0	0	0	0
MGYG-HGUT-03681	0	0	0	1	0
MGYG-HGUT-03682	0	0	0	0	0
MGYG-HGUT-03683	0	0	0	0	0
MGYG-HGUT-03684	1	0	1	0	1
MGYG-HGUT-03685	0	0	0	0	0
MGYG-HGUT-03686	1	1	0	0	0
MGYG-HGUT-03687	0	0	0	0	0
MGYG-HGUT-03689	1	0	0	0	0
MGYG-HGUT-03690	0	0	0	0	0
MGYG-HGUT-03691	0	0	0	0	0
MGYG-HGUT-03693	0	0	0	1	0
MGYG-HGUT-03694	1	1	0	0	0
MGYG-HGUT-03695	0	0	0	0	0
MGYG-HGUT-03696	0	0	0	0	0
MGYG-HGUT-03697	0	0	0	0	0
MGYG-HGUT-03699	1	0	0	0	0
MGYG-HGUT-03701	0	0	0	1	0
MGYG-HGUT-03702	1	0	1	0	0
MGYG-HGUT-03761	0	0	0	0	0
MGYG-HGUT-03788	0	0	0	0	0
MGYG-HGUT-03800	0	0	0	0	0
MGYG-HGUT-03831	0	0	0	1	0
MGYG-HGUT-03836	0	0	0	0	0
MGYG-HGUT-03868	0	0	0	1	0
MGYG-HGUT-03876	1	0	0	0	1
MGYG-HGUT-03888	0	0	0	0	0
MGYG-HGUT-03912	0	0	0	0	0
MGYG-HGUT-03932	0	0	0	0	0
MGYG-HGUT-03956	0	0	0	0	0
MGYG-HGUT-03962	0	0	0	0	0
MGYG-HGUT-03969	0	0	0	0	0
MGYG-HGUT-04021	0	0	0	1	0
MGYG-HGUT-04031	0	0	0	0	0
MGYG-HGUT-04038	0	0	0	0	0
MGYG-HGUT-04102	0	0	0	0	0
MGYG-HGUT-04120	0	0	0	0	0
MGYG-HGUT-04126	0	0	0	0	0
MGYG-HGUT-04134	0	0	0	0	0
MGYG-HGUT-04150	0	0	0	0	0
MGYG-HGUT-04159	0	0	0	0	0
MGYG-HGUT-04162	0	0	0	0	0
MGYG-HGUT-04246	0	0	0	0	0
MGYG-HGUT-04265	0	0	0	0	0
MGYG-HGUT-04274	0	0	0	0	0
MGYG-HGUT-04282	0	0	0	0	0
MGYG-HGUT-04286	0	0	0	0	0
MGYG-HGUT-04303	0	0	0	0	0
MGYG-HGUT-04312	0	0	0	0	0
MGYG-HGUT-04367	0	0	0	0	0
MGYG-HGUT-04389	0	0	0	0	0
MGYG-HGUT-04393	0	0	0	0	0
MGYG-HGUT-04409	0	0	0	0	0
MGYG-HGUT-04422	0	0	0	0	0
MGYG-HGUT-04426	0	0	0	0	0
MGYG-HGUT-04440	0	0	0	0	0
MGYG-HGUT-04461	0	0	0	0	0
MGYG-HGUT-04464	0	0	0	1	0
MGYG-HGUT-04476	0	0	0	0	0
MGYG-HGUT-04498	0	0	0	0	0
MGYG-HGUT-04499	0	0	0	0	0
MGYG-HGUT-04501	0	0	0	1	0
MGYG-HGUT-04507	0	0	0	0	0
MGYG-HGUT-04527	0	0	0	0	0
MGYG-HGUT-04535	0	0	0	0	0
MGYG-HGUT-04573	1	0	0	1	0
MGYG-HGUT-04602	0	0	0	0	0
GENOME000127	1	1	0	0	1
